trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
358,False,"{'a': 0.5, 'e': 0.47661159537952236}",20,2,-73.40299130471968,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
359,False,"{'a': 0.5, 'e': 0.4739721126495385}",25,15,-35.01867657518858,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
360,False,"{'a': 0.5, 'e': 0.47132836417373997}",25,0,-57.97764334877188,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
361,False,"{'a': 0.5, 'e': 0.4686803737458455}",20,0,-13.144727261864404,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
362,False,"{'a': 0.5, 'e': 0.46602816519775075}",25,11,-6.204647670147099,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
363,False,"{'a': 0.5, 'e': 0.4633717623993151}",20,14,-53.08202486265675,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 1}",1
364,False,"{'a': 0.5, 'e': 0.46071118925814536}",20,15,8.826508923552968,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.5, 'e': 0.45804646971938234}",20,9,-39.76063432190705,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
366,False,"{'a': 0.5, 'e': 0.45537762776548346}",25,0,-16.755678476272006,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
367,False,"{'a': 0.5, 'e': 0.4527046874160087}",20,9,-5.508138674617127,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
368,False,"{'a': 0.5, 'e': 0.45002767272740274}",20,0,-132.18297367794682,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
369,False,"{'a': 0.5, 'e': 0.4473466077927801}",25,19,7.977875939707653,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.5, 'e': 0.4446615167417068}",30,17,24.086716114761533,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.5, 'e': 0.44197242373998435}",30,16,-34.84969607099225,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
372,False,"{'a': 0.5, 'e': 0.43927935298943144}",30,4,-18.172008612498722,"{0: 23, 1: 0, 2: 1, 3: 2, 4: 0}",1
373,False,"{'a': 0.5, 'e': 0.43658232872766695}",20,0,-9.718269921981529,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
374,False,"{'a': 0.5, 'e': 0.43388137522789066}",30,0,-53.40838179711847,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
375,False,"{'a': 0.5, 'e': 0.4311765167986662}",25,0,-25.302429032963694,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
376,False,"{'a': 0.5, 'e': 0.42846777778370077}",25,9,17.307719182859078,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
377,False,"{'a': 0.5, 'e': 0.42575518256162764}",25,7,-15.092492998696459,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
378,False,"{'a': 0.5, 'e': 0.42303875554578513}",25,12,13.968191686238583,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
379,False,"{'a': 0.5, 'e': 0.42031852118399843}",30,13,10.729129568643165,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
380,False,"{'a': 0.5, 'e': 0.41759450395835795}",35,0,-53.863283429090814,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 2}",0
381,False,"{'a': 0.5, 'e': 0.4148667283850009}",20,0,6.361243431859442,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
382,False,"{'a': 0.5, 'e': 0.4121352190138885}",30,16,-18.199272399366585,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
383,False,"{'a': 0.5, 'e': 0.40940000042858704}",20,1,-26.473383270134512,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
384,False,"{'a': 0.5, 'e': 0.40666109724604504}",20,10,15.628102837063341,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.5, 'e': 0.40391853411637296}",35,16,-12.436480340877658,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
386,False,"{'a': 0.5, 'e': 0.4011723357226203}",20,6,-11.562790211770992,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
387,False,"{'a': 0.5, 'e': 0.3984225267805538}",25,0,-41.22524869124166,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
388,False,"{'a': 0.5, 'e': 0.39566913203843584}",25,11,-7.292948240160011,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
389,False,"{'a': 0.5, 'e': 0.39291217627680014}",25,0,-3.7372680529876554,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
390,False,"{'a': 0.5, 'e': 0.3901516843082303}",30,22,17.409868493603273,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.5, 'e': 0.38738768097713494}",25,5,-28.137903526884447,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
392,False,"{'a': 0.5, 'e': 0.38462019115952595}",30,16,16.255876900323265,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.5, 'e': 0.38184923976279245}",20,10,-25.036060645266264,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
394,False,"{'a': 0.5, 'e': 0.3790748517254788}",30,18,-44.70128265935144,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
395,False,"{'a': 0.5, 'e': 0.37629705201705815}",30,10,8.817458361555975,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
396,False,"{'a': 0.5, 'e': 0.37351586563770955}",30,0,-42.65006027355907,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
397,False,"{'a': 0.5, 'e': 0.37073131761809125}",25,0,-128.93402114707186,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
398,False,"{'a': 0.5, 'e': 0.367943433019117}",20,9,8.324775958719458,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
399,False,"{'a': 0.5, 'e': 0.365152236931729}",25,8,17.363228891174376,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
400,False,"{'a': 0.5, 'e': 0.3623577544766736}",30,19,-3.3232420056834853,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
401,False,"{'a': 0.5, 'e': 0.35956001080427363}",20,8,-31.007370155138563,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
